"","flipper_length_mm","body_mass_g","species","sex"
"73",187,3550,"Adelie","FEMALE"
"74",195,4000,"Adelie","MALE"
"75",189,3200,"Adelie","FEMALE"
"76",196,4700,"Adelie","MALE"
"77",187,3800,"Adelie","FEMALE"
"78",193,4200,"Adelie","MALE"
"79",191,3350,"Adelie","FEMALE"
"80",194,3550,"Adelie","MALE"
"81",190,3800,"Adelie","MALE"
"82",189,3500,"Adelie","FEMALE"
"83",189,3950,"Adelie","MALE"
"84",190,3600,"Adelie","FEMALE"
"85",202,3550,"Adelie","FEMALE"
"86",205,4300,"Adelie","MALE"
"87",185,3400,"Adelie","FEMALE"
"88",186,4450,"Adelie","MALE"
"89",187,3300,"Adelie","FEMALE"
"90",208,4300,"Adelie","MALE"
"91",190,3700,"Adelie","FEMALE"
"92",196,4350,"Adelie","MALE"
"93",178,2900,"Adelie","FEMALE"
"94",192,4100,"Adelie","MALE"
"95",192,3725,"Adelie","FEMALE"
"96",203,4725,"Adelie","MALE"
"97",183,3075,"Adelie","FEMALE"
"98",190,4250,"Adelie","MALE"
"99",193,2925,"Adelie","FEMALE"
"100",184,3550,"Adelie","MALE"
"101",199,3750,"Adelie","FEMALE"
"102",190,3900,"Adelie","MALE"
"103",181,3175,"Adelie","FEMALE"
"104",197,4775,"Adelie","MALE"
"105",198,3825,"Adelie","FEMALE"
"106",191,4600,"Adelie","MALE"
"107",193,3200,"Adelie","FEMALE"
"108",197,4275,"Adelie","MALE"
"109",191,3900,"Adelie","FEMALE"
"110",196,4075,"Adelie","MALE"
"111",188,2900,"Adelie","FEMALE"
"112",199,3775,"Adelie","MALE"
"113",189,3350,"Adelie","FEMALE"
"114",189,3325,"Adelie","MALE"
"115",187,3150,"Adelie","FEMALE"
"116",198,3500,"Adelie","MALE"
"117",176,3450,"Adelie","FEMALE"
"118",202,3875,"Adelie","MALE"
"119",186,3050,"Adelie","FEMALE"
"120",199,4000,"Adelie","MALE"
"121",191,3275,"Adelie","FEMALE"
"122",195,4300,"Adelie","MALE"
"123",191,3050,"Adelie","FEMALE"
"124",210,4000,"Adelie","MALE"
"125",190,3325,"Adelie","FEMALE"
"126",197,3500,"Adelie","MALE"
"127",193,3500,"Adelie","FEMALE"
"128",199,4475,"Adelie","MALE"
"129",187,3425,"Adelie","FEMALE"
"130",190,3900,"Adelie","MALE"
"131",191,3175,"Adelie","FEMALE"
"132",200,3975,"Adelie","MALE"
"133",185,3400,"Adelie","FEMALE"
"134",193,4250,"Adelie","MALE"
"135",193,3400,"Adelie","FEMALE"
"136",187,3475,"Adelie","MALE"
"137",188,3050,"Adelie","FEMALE"
"138",190,3725,"Adelie","MALE"
"139",192,3000,"Adelie","FEMALE"
"140",185,3650,"Adelie","MALE"
"141",190,4250,"Adelie","MALE"
"142",184,3475,"Adelie","FEMALE"
"143",195,3450,"Adelie","FEMALE"
"144",193,3750,"Adelie","MALE"
"145",187,3700,"Adelie","FEMALE"
"146",201,4000,"Adelie","MALE"
"147",211,4500,"Gentoo","FEMALE"
"148",230,5700,"Gentoo","MALE"
"149",210,4450,"Gentoo","FEMALE"
"150",218,5700,"Gentoo","MALE"
"151",215,5400,"Gentoo","MALE"
"152",210,4550,"Gentoo","FEMALE"
"153",211,4800,"Gentoo","FEMALE"
"154",219,5200,"Gentoo","MALE"
"155",209,4400,"Gentoo","FEMALE"
"156",215,5150,"Gentoo","MALE"
"157",214,4650,"Gentoo","FEMALE"
"158",216,5550,"Gentoo","MALE"
"159",214,4650,"Gentoo","FEMALE"
"160",213,5850,"Gentoo","MALE"
"161",210,4200,"Gentoo","FEMALE"
"162",217,5850,"Gentoo","MALE"
"163",210,4150,"Gentoo","FEMALE"
"164",221,6300,"Gentoo","MALE"
"165",209,4800,"Gentoo","FEMALE"
"166",222,5350,"Gentoo","MALE"
"167",218,5700,"Gentoo","MALE"
"168",215,5000,"Gentoo","FEMALE"
"169",213,4400,"Gentoo","FEMALE"
"170",215,5050,"Gentoo","MALE"
"171",215,5000,"Gentoo","FEMALE"
"172",215,5100,"Gentoo","MALE"
"173",215,5650,"Gentoo","MALE"
"174",210,4600,"Gentoo","FEMALE"
"175",220,5550,"Gentoo","MALE"
"176",222,5250,"Gentoo","MALE"
"177",209,4700,"Gentoo","FEMALE"
"178",207,5050,"Gentoo","FEMALE"
"179",230,6050,"Gentoo","MALE"
"180",220,5150,"Gentoo","FEMALE"
"181",220,5400,"Gentoo","MALE"
"182",213,4950,"Gentoo","FEMALE"
"183",219,5250,"Gentoo","MALE"
"184",208,4350,"Gentoo","FEMALE"
"185",208,5350,"Gentoo","MALE"
"186",208,3950,"Gentoo","FEMALE"
"187",225,5700,"Gentoo","MALE"
"188",210,4300,"Gentoo","FEMALE"
"189",216,4750,"Gentoo","MALE"
"190",222,5550,"Gentoo","MALE"
"191",217,4900,"Gentoo","FEMALE"
"192",210,4200,"Gentoo","FEMALE"
"193",225,5400,"Gentoo","MALE"
"194",213,5100,"Gentoo","FEMALE"
"195",215,5300,"Gentoo","MALE"
"196",210,4850,"Gentoo","FEMALE"
"197",220,5300,"Gentoo","MALE"
"198",210,4400,"Gentoo","FEMALE"
"199",225,5000,"Gentoo","MALE"
"200",217,4900,"Gentoo","FEMALE"
"201",220,5050,"Gentoo","MALE"
"202",208,4300,"Gentoo","FEMALE"
"203",220,5000,"Gentoo","MALE"
"204",208,4450,"Gentoo","FEMALE"
"205",224,5550,"Gentoo","MALE"
"206",208,4200,"Gentoo","FEMALE"
"207",221,5300,"Gentoo","MALE"
"208",214,4400,"Gentoo","FEMALE"
"209",231,5650,"Gentoo","MALE"
"210",219,4700,"Gentoo","FEMALE"
"211",230,5700,"Gentoo","MALE"
"212",229,5800,"Gentoo","MALE"
"213",220,4700,"Gentoo","FEMALE"
"214",223,5550,"Gentoo","MALE"
"215",216,4750,"Gentoo","FEMALE"
"216",221,5000,"Gentoo","MALE"
"217",221,5100,"Gentoo","MALE"
"218",217,5200,"Gentoo","FEMALE"
"219",216,4700,"Gentoo","FEMALE"
"220",230,5800,"Gentoo","MALE"
"221",209,4600,"Gentoo","FEMALE"
"222",220,6000,"Gentoo","MALE"
"223",215,4750,"Gentoo","FEMALE"
"224",223,5950,"Gentoo","MALE"
"225",212,4625,"Gentoo","FEMALE"
"226",221,5450,"Gentoo","MALE"
"227",212,4725,"Gentoo","FEMALE"
"228",224,5350,"Gentoo","MALE"
"229",212,4750,"Gentoo","FEMALE"
"230",228,5600,"Gentoo","MALE"
"231",218,4600,"Gentoo","FEMALE"
"232",218,5300,"Gentoo","MALE"
"233",212,4875,"Gentoo","FEMALE"
"234",230,5550,"Gentoo","MALE"
"235",218,4950,"Gentoo","FEMALE"
"236",228,5400,"Gentoo","MALE"
"237",212,4750,"Gentoo","FEMALE"
"238",224,5650,"Gentoo","MALE"
"239",214,4850,"Gentoo","FEMALE"
"240",226,5200,"Gentoo","MALE"
"241",216,4925,"Gentoo","MALE"
"242",222,4875,"Gentoo","FEMALE"
"243",203,4625,"Gentoo","FEMALE"
"244",225,5250,"Gentoo","MALE"
"245",219,4850,"Gentoo","FEMALE"
"246",228,5600,"Gentoo","MALE"
"247",215,4975,"Gentoo","FEMALE"
"248",228,5500,"Gentoo","MALE"
"249",215,5500,"Gentoo","MALE"
"250",210,4700,"Gentoo","FEMALE"
"251",219,5500,"Gentoo","MALE"
"252",208,4575,"Gentoo","FEMALE"
"253",209,5500,"Gentoo","MALE"
"254",216,5000,"Gentoo","FEMALE"
"255",229,5950,"Gentoo","MALE"
"256",213,4650,"Gentoo","FEMALE"
"257",230,5500,"Gentoo","MALE"
"258",217,4375,"Gentoo","FEMALE"
"259",230,5850,"Gentoo","MALE"
"260",222,6000,"Gentoo","MALE"
"261",214,4925,"Gentoo","FEMALE"
"262",215,4850,"Gentoo","FEMALE"
"263",222,5750,"Gentoo","MALE"
"264",212,5200,"Gentoo","FEMALE"
"265",213,5400,"Gentoo","MALE"
"266",192,3500,"Chinstrap","FEMALE"
"267",196,3900,"Chinstrap","MALE"
"268",193,3650,"Chinstrap","MALE"
"269",188,3525,"Chinstrap","FEMALE"
"270",197,3725,"Chinstrap","MALE"
"271",198,3950,"Chinstrap","FEMALE"
"272",178,3250,"Chinstrap","FEMALE"
"273",197,3750,"Chinstrap","MALE"
"274",195,4150,"Chinstrap","FEMALE"
"275",198,3700,"Chinstrap","MALE"
"276",193,3800,"Chinstrap","FEMALE"
"277",194,3775,"Chinstrap","MALE"
"278",185,3700,"Chinstrap","FEMALE"
"279",201,4050,"Chinstrap","MALE"
"280",190,3575,"Chinstrap","FEMALE"
"281",201,4050,"Chinstrap","MALE"
"282",197,3300,"Chinstrap","MALE"
"283",181,3700,"Chinstrap","FEMALE"
"284",190,3450,"Chinstrap","FEMALE"
"285",195,4400,"Chinstrap","MALE"
"286",181,3600,"Chinstrap","FEMALE"
"287",191,3400,"Chinstrap","MALE"
"288",187,2900,"Chinstrap","FEMALE"
"289",193,3800,"Chinstrap","MALE"
"290",195,3300,"Chinstrap","FEMALE"
"291",197,4150,"Chinstrap","MALE"
"292",200,3400,"Chinstrap","FEMALE"
"293",200,3800,"Chinstrap","MALE"
"294",191,3700,"Chinstrap","FEMALE"
"295",205,4550,"Chinstrap","MALE"
"296",187,3200,"Chinstrap","FEMALE"
"297",201,4300,"Chinstrap","MALE"
"298",187,3350,"Chinstrap","FEMALE"
"299",203,4100,"Chinstrap","MALE"
"300",195,3600,"Chinstrap","MALE"
"301",199,3900,"Chinstrap","FEMALE"
"302",195,3850,"Chinstrap","FEMALE"
"303",210,4800,"Chinstrap","MALE"
"304",192,2700,"Chinstrap","FEMALE"
"305",205,4500,"Chinstrap","MALE"
"306",210,3950,"Chinstrap","MALE"
"307",187,3650,"Chinstrap","FEMALE"
"308",196,3550,"Chinstrap","MALE"
"309",196,3500,"Chinstrap","FEMALE"
"310",196,3675,"Chinstrap","FEMALE"
"311",201,4450,"Chinstrap","MALE"
"312",190,3400,"Chinstrap","FEMALE"
"313",212,4300,"Chinstrap","MALE"
"314",187,3250,"Chinstrap","MALE"
"315",198,3675,"Chinstrap","FEMALE"
"316",199,3325,"Chinstrap","FEMALE"
"317",201,3950,"Chinstrap","MALE"
"318",193,3600,"Chinstrap","FEMALE"
"319",203,4050,"Chinstrap","MALE"
"320",187,3350,"Chinstrap","FEMALE"
"321",197,3450,"Chinstrap","MALE"
"322",191,3250,"Chinstrap","FEMALE"
"323",203,4050,"Chinstrap","MALE"
"324",202,3800,"Chinstrap","MALE"
"325",194,3525,"Chinstrap","FEMALE"
"326",206,3950,"Chinstrap","MALE"
"327",189,3650,"Chinstrap","FEMALE"
"328",195,3650,"Chinstrap","FEMALE"
"329",207,4000,"Chinstrap","MALE"
"330",202,3400,"Chinstrap","FEMALE"
"331",193,3775,"Chinstrap","MALE"
"332",210,4100,"Chinstrap","MALE"
"333",198,3775,"Chinstrap","FEMALE"
